,job_title,job_company,job_loction,job_summary,job_ratings
0,IT Support Officer,ASL,Karachi,"Installing and configuring computer hardware, software, systems, networks, printers, pabx and scanners.
Provide PABX extension connectivity to end users.",
1,Data Processing Associate,GfK,Karachi,"To suggest improvements in product data development.
To produce quality product data as per daily targets.
To remove errors in product data and get it QC passed…",3.7
2,Financial Analyst,"QuickStart Technologies, Inc.",Karachi,"P*assion |*R*espect | *A*ccountability | *I*nnovation | *S*peed | *E*xecution [ *PRAISE* ].
QuickStart is MS Gold Partner and provides IT training to fortune…",
3,M&E Officer-INGO,HRSG,Karachi,• Periodically monitor project M&E activities and conduct data quality checks of all sub-recipients to ensure there are no gaps or inconsistencies within data.,
4,IT Engineer - location Sharjah,Industrial Manufacturing Co. WLL,Karachi,"Create and enforce policies for effective data management in DC, firewall, etc.
Bachelor’s degree in IT, computer science, or related field of study.",
5,Data Entry Operator,Carpe Diem Team,Karachi,We are looking for a Data Entry Operator who have experience in IT/ Admin related work and are willing and ready to learn Digital Marketing with us (Remote/Work…,
6,Assistant Manager Research/Learning-INGO,HRSG,Karachi,"Analyze & report data from studies, disseminate information to relevant stakeholders (internal and external).
Support & oversee in performance in subcontracting…",
7,Python Developer,HRSG,Karachi,"Study and transform data science prototypes.
Robust data modeling and data architecture skills.
Understanding of data structures, data modeling, and software…",4.0
8,Junior Officer IT and Networking,ECU Worldwide Pakistan (Pvt) Ltd,Karachi,"BE computer science/ IT / Telecommunication/Networking.
Lend IT support in areas such as cybersecurity, programming, analytics, and data center management.",
9,Management Trainee - SAP Basis,ASL,Karachi,"SAP Certification is preferred but not mandatory.
Provide Technical Support for SAP.
Install new systems as per business requirement.",
10,"Digital, Data and IT Manager",Novo Nordisk,Karachi,"Business Partnering on digital, data and IT aspects and accountable within the subsidiary for the execution of the DDI project across the value chain and build…",4.1
11,"Data Collector, Department of Anaesthesiology",Medical College,Karachi,"Complete daily assigned tasks and targets.
Graduate degree in Bioscience will be preferred.
Ability to make liaison with hospital staff.",
12,Internship - Database Architect and Development,TeqDirect Software,Karachi,"Proficient with SQL queries, data flow diagrams, ERD diagrams, and Database designing.
We use time doctor to maintain employee attendance.",
13,Lab Analyst,AL AMIN SALT WORKS (PVT) LIMITED,Karachi,"Record data on computer following standard operating methods.
Compile and record data for documentation needed for testing and reports preparation.",
14,Data Engineer,SastaTicket.pk,Karachi,"Technical expertise with data models, data mining, and segmentation techniques.
Analyze and organize raw data.
Build data systems and pipelines.",
15,Software Engineer – Data,qordata,Karachi,"Gather and prepare data to support analytics from a variety of data source types including databases, flat files, external sources as per business requirements.",
16,Data Analyst (Client Data Services),Afiniti,Karachi,Help Senior Account Data Manager with the explorations of new data sources and discoveries to build a roadmap of possible new data feeds.,3.3
17,Software Quality Assurance Engineer,BariTechSol,Karachi,"Understanding in writing test plans, testing procedures, test matrices, test data generation and execution of test plans.
Minimum Experience: *Fresh to 3 years.",
18,Database Administrator,Dawat-e-islami Karachi (information Technology),Karachi,"Promote security and best-practices related to data privacy for all data sources.
Strong problem-solving skills; preventing data loss and mitigating database…",
19,Big Data / AI Engineer,A Hamson Inc.,Karachi,"Hands on experience in data integrity policy implementation in Talend ETL.
Experience in the analysis, design, development and implementation for data analytics…",
20,Senior Lab Analyst,AL AMIN SALT WORKS (PVT) LIMITED,Karachi,"Record data on computer following standard operating methods.
Compile and record data for documentation needed for testing and reports preparation.",
21,NOC and IT Engineer,Crystallite Pakistan Pvt Ltd,Karachi,"Bachelor's degree in Software Engineering, IT, Computer Science, Telecommunications, Electrical.
And Electronics or a related degree.",3.7
